Date,Legal under any,Legal only under certain,Illegal in all,No Z
2024,35,50,12,3
2023,34,51,13,2
2022,35,50,13,2
2021,32,48,19,2
2020,29,50,20,2
2016,29,50,19,2
2012,28,52,18,3
2008,28,54,17,2
2004,24,56,19,1
2000,26,56,15,3
1998,23,59,17,1
1997,26,55,17,2
1997,22,61,15,2
1996,24,52,17,7
1996,25,58,15,2
1995,31,54,12,3
1995,33,50,15,2
1994,3,52,13,2
1994,31,51,15,3
1993,32,51,13,4
1992,34,48,15,3
1992,31,53,14,2
1991,33,49,14,4
1991,32,50,17,1
1990,31,53,12,4
1989,29,51,17,3
1989,29,51,17,3
1989,27,50,18,5
1988,24,57,17,2
1985,21,55,21,3
1984,23,58,16,3
1981,23,52,21,4
1980,25,53,18,4
1979,22,54,19,5
1977,22,55,19,4
1976,21,54,22,3
