Date,Completely satisfied,Somewhat satisfied,Somewhat dissatisfied,Completely dissatisfied,No opinion
2023,8,28,38,25,1
2022,9,33,32,23,2
2021,10,36,32,22,1
2020,11,39,31,17,2
2019,10,41,32,15,2
2018,10,33,34,21,2
2017,9,38,32,20,1
2016,9,34,35,20,1
2015,8,37,37,17,2
2014,9,39,33,16,2
2013,9,36,33,20,3
2012,8,36,37,16,3
2011,8,37,32,22,1
2010,9,34,37,17,2
2009,8,37,35,17,3
2008,7,37,38,15,3
2007,39,35,16,3
2006,8,37,33,19,3
2005,9,37,35,16,3
2004,10,43,32,13,2
2003,8,40,34,16,2
2002,7,40,32,18,3
2001,38,32,17,3
2000,7,29,40,21,3
1999,8,39,38,13,2
1996,8,39,38,13,2
1992,8,39,38,13,2
1988,8,39,38,13,2
1984,8,39,38,13,2
1980,8,39,38,13,2
