Date,More strict,Less strict,Kept as now,No opinion
2023,56,12,31,0
2022,57,10,32,1
2022,66,8,25,*
2021,52,11,35,1
2020,57,9,34,*
2019,64,7,28,1
2019,63,7,29,1
2018,61,8,30,2
2018,67,4,28,1
2017,60,5,33,1
2016,55,10,34,1
2015,55,11,33,*
2014,47,14,38,1
2013,49,13,37,1
2013,49,13,37,2
2012,58,6,34,2
2011,43,11,44,2
2010,44,12,42,2
2009,44,12,43,1
2008,49,8,41,2
2007,51,8,39,2
2006,56,9,33,2
2005,57,7,35,1
2004,54,11,34,1
2004,60,6,34,*
2003,55,9,36,*
2002,51,11,36,2
2001,53,8,38,1
2000,62,5,31,2
2000,61,7,30,2
1999,60,10,29,1
1999,66,6,27,1
1999,62,6,31,1
1999,65,5,28,2
1999,66,7,25,2
1999,60,9,29,2
1995,62,12,24,2
1993,70,4,24,2
1991,68,5,25,2
1992,68,5,25,2
1990,78,2,17,3
1988,78,2,17,3
1984,78,2,17,3
1980,78,2,17,3
